Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
3,0.247,0.620,hit
3,0.219,0.620,hit
3,0.272,0.680,hit
3,0.252,0.680,strikeout
3,0.274,0.680,walk
3,0.261,0.680,walk
4,0.264,0.620,hit
4,0.285,0.620,hit
4,0.248,0.620,hit
4,0.283,0.620,hit
4,0.205,0.620,walk
4,0.280,0.680,hit
4,0.197,0.680,hit
5,0.247,0.620,hit
5,0.219,0.620,hit
5,0.264,0.620,walk
5,0.285,0.620,hit
5,0.248,0.620,hit
5,0.272,0.680,hit
5,0.252,0.680,hit
5,0.274,0.680,strikeout
7,0.283,0.650,hit
7,0.205,0.650,hit
8,0.247,0.670,hit
8,0.233,0.670,hit
8,0.264,0.670,walk
8,0.285,0.670,hit
8,0.248,0.670,hit
8,0.283,0.670,hit
8,0.205,0.670,hit
1,0.299,0.620,hit
1,0.266,0.620,hit
1,0.197,0.610,strikeout
1,0.274,0.610,hit
1,0.252,0.610,hit
1,0.272,0.610,hit
2,0.260,0.620,strikeout
2,0.268,0.620,hit
2,0.280,0.610,hit
2,0.277,0.610,strikeout
2,0.197,0.610,strikeout
3,0.275,0.620,hit
3,0.252,0.620,hit
3,0.274,0.610,hit
3,0.252,0.610,hit
3,0.272,0.610,hit
4,0.299,0.620,hit
4,0.266,0.620,strikeout
4,0.280,0.610,hit
4,0.277,0.610,hit
5,0.260,0.620,hit
5,0.268,0.620,hit
5,0.197,0.610,walk
5,0.274,0.670,hit
5,0.252,0.670,hit
6,0.275,0.620,hit
6,0.252,0.620,hit
6,0.272,0.670,hit
6,0.280,0.670,hit
7,0.299,0.620,hit
7,0.266,0.620,hit
8,0.260,0.620,hit
8,0.268,0.620,hit
8,0.275,0.620,hit
8,0.252,0.620,hit
8,0.299,0.620,strikeout
1,0.275,0.670,walk
1,0.270,0.670,hit
1,0.197,0.610,hit
1,0.272,0.610,hit
2,0.260,0.670,hit
2,0.266,0.670,hit
2,0.252,0.610,strikeout
3,0.268,0.670,hit
3,0.000,0.670,hit
3,0.299,0.670,hit
3,0.274,0.610,hit
3,0.280,0.610,hit
4,0.275,0.670,hit
